"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Suscripciones a telefonía fija (por cada 100 personas)","IT.MLT.MAIN.P2","","","","","","","","","","","","","","","","","","","","","","","14.25945877","15.70277782","17.14089818","18.6109991","20.22369216","21.54693561","24.43263073","27.04347018","28.47577307","27.99717081","29.0631411","29.02155887","28.77794137","35.43153796","42.27810167","40.58247209","41.5671863","42.08387535","42.76046285","40.94387474","40.45717523","40.33397698","40.62753902","40.49299874","40.42737903","39.8906878","39.24752031","36.99149296","34.92057164","","35.25540583","34.02021773","33.78574049","33.57088733","","","","32.8817572","32.83764132","",
"","AFE","Suscripciones a telefonía fija (por cada 100 personas)","IT.MLT.MAIN.P2","0.83700459546021","0.84236798921054","0.843302196219782","0.844147336182397","0.844889227805324","0.802419854733094","0.793235824489002","0.793285841568396","0.793241386460741","0.793198742032217","0.771958056645876","0.773276941796367","0.773499133684909","0.773571514370305","0.773216401974737","0.875758878147607","0.870190826369553","0.912702954973511","0.977188107679895","0.983141221293721","1.02805571229005","1.03580052842938","1.08778728137668","1.12624419658964","1.14195656237037","1.18268965116224","1.25377088467902","1.28536714447889","1.33484942230713","1.39054844180459","1.44710621965375","1.47204063915524","1.44456822634339","1.46669845113227","1.50618643524761","1.56704616122248","1.63714955222042","1.74399830747354","1.86832640404802","1.98617578265713","1.87304961979575","1.87292095668847","1.91629374584511","1.9706050270912","1.96453208243361","1.85876793295021","1.84016930031967","1.8555090751088","1.84939926255462","1.88896679036097","1.80633241960719","1.71250705863338","1.61877274668544","1.34662191535518","1.29973385870506","1.28151540946766","1.34975979750139","1.33193477703194","0.995746619703682","0.809824441694247","0.790185681654651","0.682794199459442",
"Afganistán","AFG","Suscripciones a telefonía fija (por cada 100 personas)","IT.MLT.MAIN.P2","0.089301599","0.0855843","0.0855843","0.0855843","0.0855843","0.097227988","0.093408","0.093408","0.093408","0.093408","0.148796072","0.143194","0.143194","0.143194","0.143194","0.176847227","0.178668178","0.1749781","0.195534971","0.194819661","0.206620969","0.284172531","0.27754957","0.291414848","0.292863331","0.294894838","0.306265757","0.319682007","0.327443839","0.32792513","0.33848238","0.344340856","0.240515539","0.207087239","0.187634814","0.176625589","0.169525262","0.163023751","0.156814973","0.150548878","0.148390865","0.147293118","0.157379034","0.162065751","","","","","","0.018732673","0.058957763","0.046185946","0.295462433","0.303631354","0.31156115","0.325892139","0.32968968","0.333214396","0.348337974","0.356467539","0.374079184","",
"","AFW","Suscripciones a telefonía fija (por cada 100 personas)","IT.MLT.MAIN.P2","0.060733011696502","0.061229388011098","0.0613443745262043","0.0614623022162539","0.0615840875969119","","0.0847722833008651","0.0849248866901991","0.0850697344460691","0.0852375115365332","","0.0978044355292099","0.0982270142513587","0.0986435134688902","0.0989955654614608","","","","","","","0.231021098132839","0.226620961997935","0.24747002260334","0.255090338789755","0.260687980873497","0.26981765269629","0.277338087636034","0.283129969637817","0.29440489909695","0.319144879710241","0.326362144177382","0.350685263642796","0.368176209812486","0.391795347330836","0.424545371031515","0.451066402647719","0.47613335153898","0.526052395344194","0.581384243902781","0.664712875620078","0.719843165137343","0.76643663892199","0.797818431858228","0.858342716425024","0.915791887126688","1.08943705198388","1.05555496179614","0.965839668264998","1.07996467971097","0.945105557126738","0.863591059788961","0.780607913978651","0.755516430012959","0.768008216911776","0.720298345156666","0.68400829951837","0.622093661317531","0.617882128400965","0.553210006480837","0.579244934970764","0.569604658901329",
"Angola","AGO","Suscripciones a telefonía fija (por cada 100 personas)","IT.MLT.MAIN.P2","0.124430766","0.122201","0.122201","0.122201","0.122201","0.17431983","0.173293","0.173293","0.173293","0.173293","0.215599449","0.220699","0.220699","0.220699","0.220699","0.255946745","0.261463812","0.266244438","0.321684494","0.372985042","0.432170483","0.425188983","0.550789793","0.4946799","0.47828473","0.474895195","0.465421298","0.579761264","0.58768962","0.585690036","0.591784109","0.588779338","0.38709656","0.408796566","0.393848447","0.379090316","0.365874431","0.418790858","0.423638811","0.42342039","0.395875043","0.453322348","0.45786346","0.469219793","0.502260786","0.497456192","0.486873051","0.450958513","0.526915539","1.347002804","1.20321766","0.657423102","0.82715017","0.822082776","1.059467818","1.012968665","1.044402856","0.53319204","0.549531772","0.38550902","0.356474415","0.347283749",
"Albania","ALB","Suscripciones a telefonía fija (por cada 100 personas)","IT.MLT.MAIN.P2","0.400014259","0.418376","0.418376","0.418376","0.418376","0.696142729","0.737855","0.737855","0.737855","0.737855","7.441721214","8.04387","8.04387","8.04387","8.04387","0.817320863","0.829169062","0.857721021","0.871770654","0.900039221","0.928049953","0.969125662","0.986459528","1.003914944","1.021800758","1.049113653","1.091319087","1.111908665","1.133919232","1.174523533","1.213936231","1.256783222","1.357492223","1.30274962","1.259866806","1.283353489","1.951804938","2.667716542","3.578859437","4.375954567","4.798429928","6.262533248","7.043265821","8.24444688","8.964769403","9.19903292","8.523710065","10.08036063","11.64048787","12.38679138","11.43220979","11.68164145","10.78766182","9.740167523","8.173566677","7.865379812","8.63014797","8.568585673","8.641983891","8.450549848","7.794937157","6.925046677",
"Andorra","AND","Suscripciones a telefonía fija (por cada 100 personas)","IT.MLT.MAIN.P2","","","","","","3.686771863","2.69556","2.69556","2.69556","2.69556","9.516616314","7.78547","7.78547","7.78547","7.78547","13.95441389","14.2486516","15.22827878","17.01663904","18.53728545","19.72985875","24.18146916","26.90553915","29.67946181","30.81956331","31.95617439","34.18046267","35.44662538","36.07161558","37.62151904","40.1388863","42.2412238","44.17017265","45.2363243","46.46689713","47.34776252","48.27037897","49.44188491","50.54152732","51.18726677","51.76404732","50.87732232","49.29144083","47.58754127","45.54612455","44.40157342","45.50860135","47.52967966","49.14206824","51.29448085","53.37183126","54.41701621","53.96271053","54.04814618","53.38722739","54.14936024","53.34160463","52.02204887","52.49090158","51.94582345","51.48005148","",
"El mundo árabe","ARB","Suscripciones a telefonía fija (por cada 100 personas)","IT.MLT.MAIN.P2","","","","","","","0.678223860434247","0.679674338049816","0.681111953254255","0.682512836996028","0.827909911164426","0.799584470091435","0.802601556837932","0.805438544641513","0.807701717311818","0.989114309925858","1.02905877526409","1.11470954557473","1.21944572894137","1.37680127657905","","1.66982715471522","2.0282658472267","2.18909665441262","2.33201784167448","2.57803336451489","2.75606458088219","2.88693010265034","3.01982060607673","3.19021572789357","3.41551036549524","3.65385254166837","3.89918023529104","4.10596175015484","4.33249773437884","4.60595876422734","4.9318588203775","5.3002688282776","5.80837862279458","6.42407109176101","6.90267371872146","7.41462243515131","8.1330948007531","8.67688891773772","9.0858284490239","9.32772333919514","9.51597778679811","9.93607541817085","10.0786012513463","9.72694146353782","9.60443782059374","9.38214705732919","9.15761335129793","8.4725388392884","7.24005846798719","7.40338028991252","7.64447069405084","8.15335997506725","8.23789171736996","8.39829907835315","8.67417578117014","9.1968443290733",
"Emiratos Árabes Unidos","ARE","Suscripciones a telefonía fija (por cada 100 personas)","IT.MLT.MAIN.P2","","","","","","","","","","","","","","","","4.749408348","5.871434456","7.049476488","8.951705844","10.60991665","11.89204061","12.96069734","13.96559165","14.37015382","14.43105758","15.00881456","15.02541707","15.72425819","17.58902072","19.68535137","20.86334191","21.78384302","23.22756826","24.8823812","26.41123492","27.62256839","28.68830253","30.40983672","31.33112871","31.48210383","31.14483321","30.48261854","30.09791246","29.78300711","29.74287933","28.89189494","26.73393137","23.59291179","22.83678873","19.77002854","17.44311418","21.28807416","22.70620672","23.83513745","23.80089887","25.32994935","25.41407784","25.59286772","25.61650385","25.64795889","25.63574796","23.95032046",
"Argentina","ARG","Suscripciones a telefonía fija (por cada 100 personas)","IT.MLT.MAIN.P2","4.494680621","4.46571","4.46571","4.46571","4.46571","4.987833993","4.96398","4.96398","4.96398","4.96398","5.397855277","5.38932","5.38932","5.38932","5.38932","6.380538731","6.382592608","6.333809742","6.365550349","6.514614524","6.704775052","7.723571311","8.164330917","7.732288548","8.714098395","8.950652013","9.298746865","9.501303688","10.02106858","9.587833226","9.273741678","9.458277702","10.70812226","11.70366741","14.45948261","16.35134211","17.69638288","19.06076761","19.5827721","19.70687772","21.29495597","21.69511275","20.34726753","22.47722487","22.6553886","24.16573312","23.96288964","23.82378703","24.19151036","24.00957096","24.12208839","23.41606869","22.53898916","22.79424055","22.93679389","23.28665849","23.27744092","22.1188354","21.98429058","17.3363568","16.33395455","15.24637574",
